Occupation,Owns_House,Relationship_Type_Pookie,Family_Structure,Number_of_Vehicles_Owned,Gym_Category,Owns_Land,Land_Legal_Dispute,Personality_Type,Rural_or_Urban_Background,Education_Level,Age,Yearly_Inhand_Income_INR,Savings_in_Lakhs,Dahej_Category
Unemployed,Yes,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,32,0.0,4.2,0
Private Job,Yes,Not Pookie,Nuclear,1,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,26,577027.0,6.94,3
Private Job,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Shehr ka Launda,10th Pass,28,6368.0,0.0,2
Private Job,Yes,Not Pookie,Nuclear,1,Obese,Yes,No,Virus,Gaon ka Chhora,Graduate+,32,3254.0,0.0,2
Government Job,unknown,Not Pookie,,7,Optional,No,No,Chill,Shehr ka Launda,Graduate+,24,18809242.0,258.1,8
Unemployed,Yes,Not Pookie,Nuclear,2,Obese,Yes,No,Chill,Shehr ka Launda,10th Pass,26,0.0,0.0,1
Business,No,Not Pookie,Joint,0,Obese,Yes,No,Chill,Shehr ka Launda,12th Pass,27,176857.0,2.84,3
Self-employed,Yes,Not Pookie,Nuclear,3,Passionate,No,No,Virus,Shehr ka Launda,Graduate+,30,537467.0,9.75,3
Government Job,No,Not Pookie,Nuclear,3,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,26,13601204.0,195.37,4
Freelancer,No,Not Pookie,Nuclear,2,Passionate,No,No,Virus,Shehr ka Launda,Graduate+,37,445.0,0.0,1
,Yes,Not Pookie,Joint,2,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,30,1000000000000,0.0,2
Unemployed,Yes,Not Pookie,Joint,2,Obese,No,Yes,Virus,Gaon ka Chhora,Graduate+,32,0.0,0.0,0
Unemployed,No,Not Pookie,Joint,3,Passionate,Yes,No,Chill,Shehr ka Launda,Graduate+,24,0.0,1.24,1
Private Job,No,Not Pookie,Nuclear,1,Passionate,No,No,Chill,Gaon ka Chhora,Uneducated,25,0.0,1.61,1
Private Job,No,Not Pookie,Joint,4,Optional,Yes,No,Chill,Gaon ka Chhora,12th Pass,28,21369265.0,274.29,7
Unemployed,Yes,Not Pookie,Joint,0,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,32,0.0,0.0,0
Private Job,No,Not Pookie,Nuclear,5,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,31,28996238.0,320.82,7
Private Job,Yes,Not Pookie,Joint,6,Passionate,No,No,Virus,Shehr ka Launda,12th Pass,33,20061087.0,267.53,6
Private Job,No,Not Pookie,Nuclear,1,1000000000000,No,N/A,-1,Gaon ka Chhora,Graduate+,31,9885329.0,127.71,4
Self-employed,Yes,Not Pookie,Nuclear,0,Obese,No,No,Virus,Shehr ka Launda,12th Pass,26,2816105.0,34.83,2
Private Job,No,Not Pookie,Joint,1,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,25,911425.0,14.16,0
Private Job,No,Not Pookie,Alone,4,Optional,Yes,Yes,Chill,Shehr ka Launda,12th Pass,24,11288709.0,128.55,3
Private Job,No,Pookie,Nuclear,0,Obese,Yes,No,Chill,Gaon ka Chhora,Graduate+,33,1371922.0,19.77,3
Private Job,Yes,Not Pookie,Joint,0,Optional,No,No,Virus,Shehr ka Launda,12th Pass,28,2435522.0,26.67,1
Freelancer,No,Not Pookie,Nuclear,1,Optional,No,No,Virus,Shehr ka Launda,12th Pass,28,3420781.0,50.18,2
Private Job,No,Not Pookie,Joint,2,Optional,No,No,Chill,Shehr ka Launda,12th Pass,18,896494.0,10.16,0
Freelancer,Yes,Not Pookie,Joint,3,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,24,2177211.0,24.08,2
Self-employed,Yes,Not Pookie,Alone,10,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,27,45751369.0,620.69,10
Private Job,Yes,Not Pookie,Nuclear,1,Obese,No,No,Virus,Shehr ka Launda,12th Pass,27,4321029.0,48.74,1
Freelancer,,Not Pookie,Nuclear,-79,Optional,No,No,123,Shehr ka Launda,12th Pass,31,39326860.0,410.88,8
Freelancer,No,Not Pookie,Joint,2,Obese,Yes,No,Chill,Gaon ka Chhora,Uneducated,26,8221280.0,109.11,5
Private Job,No,Not Pookie,Nuclear,1,Optional,No,No,Chill,Shehr ka Launda,12th Pass,31,4523552.0,48.78,1
Private Job,Yes,Not Pookie,Nuclear,4,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,30,9868977.0,135.74,5
Private Job,Yes,Not Pookie,Nuclear,0,Obese,Yes,Yes,Chill,Shehr ka Launda,Graduate+,29,442629.0,2.92,2
Self-employed,No,Not Pookie,Joint,5,Optional,No,No,Chill,Shehr ka Launda,10th Pass,22,16840612.0,228.49,6
Private Job,No,Not Pookie,Joint,0,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,29,545404.0,5.19,2
Private Job,Yes,Not Pookie,Nuclear,2,Passionate,Yes,No,Chill,Shehr ka Launda,12th Pass,30,7196691.0,71.9,6
Unemployed,Yes,Not Pookie,Joint,0,Passionate,Yes,Yes,Chill,Shehr ka Launda,Graduate+,24,0.0,7.21,0
Self-employed,No,Not Pookie,Nuclear,3,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,31,15118945.0,219.28,5
Private Job,Yes,Not Pookie,Nuclear,1,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,25,5322806.0,72.58,3
Government Job,No,Not Pookie,Joint,2,Optional,No,No,Virus,Shehr ka Launda,Graduate+,28,-603,77.83,4
Business,No,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,26,1798960.0,24.53,3
Private Job,No,Not Pookie,Joint,2,Obese,Yes,No,Virus,Gaon ka Chhora,12th Pass,24,568042.0,6.72,0
Private Job,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,28,1719139.0,24.04,3
Business,No,Not Pookie,Nuclear,5,Obese,No,No,Chill,Shehr ka Launda,12th Pass,20,26958046.0,348.01,6
Business,No,Not Pookie,Joint,1,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,36,1024801.0,15.32,2
Private Job,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Shehr ka Launda,12th Pass,32,319252.0,3.79,2
Private Job,No,Not Pookie,Alone,0,Obese,Yes,No,Chill,Gaon ka Chhora,Graduate+,27,40027.0,0.0,2
Unemployed,No,Not Pookie,Joint,1,Optional,No,No,Chill,Shehr ka Launda,Graduate+,25,0.0,2.42,0
Unemployed,No,Not Pookie,Nuclear,2,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,23,0.0,0.0,0
Private Job,Yes,1000000000000,Alone,4,Optional,No,No,Chill,Shehr ka Launda,-351,32,20727266.0,,7
Private Job,No,Pookie,Nuclear,2,Obese,No,No,Chill,Shehr ka Launda,Graduate+,34,13523157.0,153.32,3
Private Job,Yes,Not Pookie,Nuclear,0,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,22,4967922.0,74.63,2
Private Job,Yes,Not Pookie,Alone,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,30,697329.0,11.21,2
Private Job,Yes,Not Pookie,Nuclear,7,Obese,No,No,Chill,Gaon ka Chhora,Uneducated,26,30516260.0,345.02,8
Private Job,No,Not Pookie,Nuclear,5,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,30,17283251.0,233.38,5
Private Job,Yes,Not Pookie,Joint,0,Passionate,No,No,Chill,Gaon ka Chhora,10th Pass,23,4.0,0.09,2
Business,No,Not Pookie,Joint,8,Obese,No,No,Virus,Shehr ka Launda,Uneducated,30,41660159.0,542.39,8
Business,Yes,Not Pookie,Nuclear,1,Obese,No,No,Virus,Shehr ka Launda,10th Pass,99999,N/A,96.31,4
Freelancer,No,Not Pookie,Joint,10,Passionate,Yes,No,Chill,Gaon ka Chhora,Graduate+,30,43402079.0,444.12,10
Freelancer,No,Pookie,Joint,0,Optional,No,No,Chill,Shehr ka Launda,12th Pass,25,4421399.0,50.26,3
Private Job,No,Not Pookie,Nuclear,1,Obese,No,No,Chill,Gaon ka Chhora,Uneducated,23,1636506.0,19.76,0
Business,No,Not Pookie,Joint,1,Optional,No,No,Chill,Shehr ka Launda,Graduate+,29,20028.0,0.0,3
Private Job,No,Not Pookie,Nuclear,1,Optional,Yes,No,Virus,Gaon ka Chhora,Graduate+,29,7552.0,0.83,2
Private Job,Yes,Not Pookie,Nuclear,7,Optional,Yes,No,Chill,Gaon ka Chhora,12th Pass,18,38571941.0,537.71,9
Unemployed,Yes,Not Pookie,Nuclear,1,Optional,No,No,Chill,Shehr ka Launda,Uneducated,30,0.0,0.0,0
Business,Yes,Not Pookie,Nuclear,0,Obese,No,No,Virus,Gaon ka Chhora,10th Pass,24,402498.0,1.91,1
Private Job,Yes,Not Pookie,Nuclear,1,Passionate,No,No,Virus,Shehr ka Launda,12th Pass,20,111881.0,1.59,0
Unemployed,No,Not Pookie,Joint,1,Optional,No,No,Chill,Shehr ka Launda,12th Pass,42,0.0,0.0,0
Freelancer,No,Not Pookie,Alone,5,Obese,Yes,No,Chill,Shehr ka Launda,Graduate+,19,27469895.0,277.11,6
Private Job,No,Not Pookie,Nuclear,1,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,39,26100.0,0.0,0
Freelancer,No,Not Pookie,Joint,0,Obese,Yes,No,Virus,Shehr ka Launda,Graduate+,25,106246.0,3.85,2
Unemployed,No,Not Pookie,Nuclear,0,Obese,Yes,No,Virus,Gaon ka Chhora,Graduate+,29,0.0,0.0,0
Private Job,Yes,Not Pookie,Nuclear,0,Optional,No,No,Virus,Shehr ka Launda,12th Pass,27,2502242.0,26.84,1
Unemployed,Yes,Not Pookie,Alone,2,Obese,No,No,Chill,Shehr ka Launda,Graduate+,25,0.0,0.0,0
Private Job,Yes,Not Pookie,Joint,0,Optional,No,No,Chill,Shehr ka Launda,10th Pass,26,161311.0,2.17,2
Freelancer,Yes,Not Pookie,Joint,5,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,30,24141990.0,260.12,7
Private Job,No,Not Pookie,Joint,1,Optional,No,No,Virus,Shehr ka Launda,10th Pass,27,279526.0,5.0,0
Self-employed,No,Not Pookie,Nuclear,0,Obese,No,No,Chill,Shehr ka Launda,Graduate+,26,35.0,0.18,1
Freelancer,No,Not Pookie,Nuclear,8,Obese,No,No,Chill,Shehr ka Launda,Graduate+,20,36025015.0,493.82,7
Private Job,Yes,Pookie,Joint,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,27,3057346.0,33.52,3
Freelancer,Yes,Not Pookie,Nuclear,0,Passionate,No,No,Virus,Shehr ka Launda,10th Pass,35,1187259.0,18.71,2
Private Job,Yes,Not Pookie,Joint,3,Optional,No,No,Virus,Shehr ka Launda,Graduate+,36,5217354.0,77.28,4
Business,Yes,Not Pookie,Joint,2,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,21,5000130.0,64.79,6
Private Job,No,Not Pookie,Joint,7,Obese,No,No,Chill,Shehr ka Launda,Uneducated,28,33836368.0,382.63,7
Private Job,Yes,Not Pookie,Nuclear,9,Passionate,Yes,No,Chill,Gaon ka Chhora,12th Pass,29,42374057.0,461.06,10
Private Job,Yes,Not Pookie,Joint,0,Optional,No,Yes,Virus,Shehr ka Launda,Graduate+,23,102429.0,1.53,0
Private Job,Yes,Not Pookie,Alone,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,24,1379121.0,16.45,2
Unemployed,Yes,Pookie,Joint,0,Optional,No,No,Virus,Shehr ka Launda,10th Pass,28,0.0,0.0,0
Government Job,No,Not Pookie,Nuclear,3,Passionate,Yes,No,Virus,Gaon ka Chhora,Graduate+,27,11224753.0,130.48,6
Private Job,No,Not Pookie,Alone,4,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,34,5219084.0,78.57,3
,No,Pookie,Nuclear,0,Obese,No,No,Chill,Gaon ka Chhora,"['weird', 123]",1000000000000,0.0,0.0,0
Freelancer,No,Pookie,Joint,2,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,28,22224.0,0.0,2
Business,No,Not Pookie,Nuclear,2,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,27,9560342.0,110.19,5
Private Job,No,Not Pookie,Nuclear,1,Optional,No,No,Chill,Shehr ka Launda,12th Pass,21,80199.0,2.85,0
Business,No,Not Pookie,Nuclear,4,Obese,No,No,Virus,Gaon ka Chhora,Graduate+,26,18333874.0,210.41,6
Unemployed,Yes,Not Pookie,Joint,1,Passionate,Yes,No,Chill,Gaon ka Chhora,Graduate+,24,0.0,0.0,1
Unemployed,No,Not Pookie,Nuclear,0,Obese,No,No,Chill,Shehr ka Launda,12th Pass,26,0.0,0.0,0
Private Job,Yes,Not Pookie,Joint,4,Optional,No,No,Chill,Shehr ka Launda,12th Pass,34,18748054.0,??,6
Business,No,Not Pookie,Alone,9,Optional,No,No,Virus,Shehr ka Launda,Graduate+,28,47827436.0,485.61,9
Private Job,Yes,Not Pookie,Joint,5,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,30,22568135.0,309.37,8
Private Job,Yes,Not Pookie,Nuclear,1,Passionate,No,No,Chill,Gaon ka Chhora,10th Pass,30,3069091.0,37.41,3
Unemployed,No,Not Pookie,Joint,1,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,30,0.0,0.0,0
Unemployed,No,Not Pookie,Joint,2,Obese,No,No,Virus,Gaon ka Chhora,12th Pass,21,0.0,2.22,0
Private Job,Yes,Not Pookie,Nuclear,2,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,18,8946800.0,107.0,4
Unemployed,Yes,Not Pookie,Joint,1,Optional,N/A,No,Chill,Gaon ka Chhora,12th Pass,27,0.0,0.0,0
Private Job,Yes,Not Pookie,Joint,4,Passionate,Yes,No,Chill,Shehr ka Launda,Graduate+,35,24773637.0,278.09,9
Private Job,Yes,Not Pookie,Nuclear,3,Optional,Yes,No,Virus,Gaon ka Chhora,10th Pass,24,14310075.0,158.31,5
Unemployed,No,Not Pookie,Nuclear,0,Optional,Yes,No,Chill,Gaon ka Chhora,12th Pass,18,0.0,0.0,0
Self-employed,No,Not Pookie,Alone,5,Optional,No,No,Chill,Shehr ka Launda,Uneducated,33,11754492.0,148.36,5
Freelancer,No,Not Pookie,Nuclear,2,Optional,No,Yes,Virus,Gaon ka Chhora,12th Pass,27,204305.0,1.32,0
Government Job,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Shehr ka Launda,Graduate+,27,7581543.0,94.02,6
Freelancer,No,Pookie,Joint,3,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,35,9963257.0,146.77,4
Self-employed,No,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,25,229059.0,4.94,2
Unemployed,No,Pookie,Nuclear,1,Obese,No,No,Virus,Shehr ka Launda,12th Pass,28,0.0,2.41,0
Government Job,Yes,Not Pookie,Nuclear,3,Optional,No,No,Chill,123.58,,26,10285554.0,Shehr ka Launda,6
Private Job,Yes,Not Pookie,Joint,3,Optional,Yes,No,Chill,Shehr ka Launda,12th Pass,26,1354062.0,12.52,4
Private Job,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,31,1208196.0,13.9,3
Private Job,Yes,Not Pookie,Nuclear,0,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,34,4373968.0,63.03,4
Freelancer,Yes,Not Pookie,Nuclear,unknown,Optional,Yes,No,Virus,Gaon ka Chhora,Graduate+,24,10730478.0,151.89,6
Government Job,No,Not Pookie,Nuclear,2,Passionate,Yes,No,Chill,Shehr ka Launda,Graduate+,33,2.0,2.45,5
Private Job,No,Not Pookie,Alone,3,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,22,16809101.0,173.24,5
Private Job,Yes,Not Pookie,Joint,8,Optional,No,Yes,Chill,Shehr ka Launda,12th Pass,26,38379278.0,502.63,8
Private Job,Yes,Not Pookie,Joint,7,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,26,32793986.0,436.46,8
Business,No,Not Pookie,Nuclear,1,Optional,No,No,Virus,Shehr ka Launda,Graduate+,33,39057.0,3.52,2
Self-employed,No,Not Pookie,Alone,0,Optional,No,No,Chill,Shehr ka Launda,12th Pass,35,770681.0,9.46,2
Private Job,No,Not Pookie,Joint,9,Obese,No,No,Chill,Shehr ka Launda,Graduate+,20,47489876.0,667.29,7
Freelancer,No,Not Pookie,Joint,1,Passionate,No,No,Chill,Gaon ka Chhora,10th Pass,36,152971.0,0.09,1
Private Job,No,Not Pookie,Nuclear,2,Obese,Yes,No,Virus,Shehr ka Launda,12th Pass,33,574953.0,7.04,1
Private Job,No,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,27,252930.0,3.57,1
Government Job,Yes,Not Pookie,Nuclear,4,Obese,No,No,Virus,Gaon ka Chhora,10th Pass,35,20875858.0,306.46,7
Private Job,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Shehr ka Launda,10th Pass,28,651596.0,12.7,1
Unemployed,Yes,Not Pookie,Nuclear,2,Passionate,No,No,Chill,Shehr ka Launda,10th Pass,32,0.0,0.0,0
Self-employed,No,Not Pookie,Alone,3,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,25,43644.0,3.34,2
Business,Yes,Not Pookie,Nuclear,0,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,30,3738419.0,50.38,4
Private Job,No,Not Pookie,Joint,9,Optional,No,No,Chill,Shehr ka Launda,Graduate+,29,47642713.0,495.38,8
Government Job,Yes,Not Pookie,Joint,0,Obese,No,No,Chill,Shehr ka Launda,Graduate+,27,3394918.0,42.59,4
Private Job,Yes,Not Pookie,Joint,6,Optional,No,Yes,Chill,Gaon ka Chhora,Graduate+,24,34971073.0,397.47,7
Private Job,Yes,Not Pookie,Joint,2,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,25,3310827.0,40.14,3
Government Job,Yes,Not Pookie,Nuclear,4,Optional,No,No,Virus,Shehr ka Launda,Graduate+,25,20256716.0,232.2,7
Private Job,No,Not Pookie,Nuclear,3,Optional,No,No,Chill,Shehr ka Launda,10th Pass,29,1280210.0,11.56,2
Private Job,Yes,Not Pookie,Joint,1,Optional,No,No,Virus,Shehr ka Launda,10th Pass,22,1293984.0,16.89,1
Government Job,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,30,53.0,0.31,4
Private Job,Yes,Not Pookie,Joint,1,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,26,298.0,1.98,2
Self-employed,No,Not Pookie,Joint,6,Obese,Yes,No,Virus,Gaon ka Chhora,10th Pass,27,25440117.0,320.26,7
Unemployed,Yes,Pookie,Nuclear,0,Passionate,Yes,No,Chill,Gaon ka Chhora,Graduate+,32,0.0,0.0,2
Self-employed,No,Pookie,Nuclear,9,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,22,49903565.0,697.92,8
Government Job,No,Not Pookie,Alone,0,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,28,709276.0,6.61,1
Self-employed,Yes,Not Pookie,Joint,4,Optional,No,No,Chill,Gaon ka Chhora,Uneducated,24,21276051.0,309.16,8
Private Job,No,Not Pookie,Alone,0,Obese,No,Yes,Chill,Shehr ka Launda,Graduate+,23,1675284.0,18.65,0
Freelancer,No,NULL,Joint,3,Optional,Yes,No,Virus,Shehr ka Launda,-428,29,N/A,0.0,3
Private Job,No,Not Pookie,Joint,5,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,27,16658237.0,250.33,6
Private Job,Yes,Not Pookie,Joint,1,Optional,No,No,Virus,Shehr ka Launda,10th Pass,27,3693134.0,46.51,2
Private Job,No,Pookie,Nuclear,2,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,32,4270836.0,45.64,4
Business,No,Not Pookie,Nuclear,4,Optional,five lakh,No,"['weird', 123]",Gaon ka Chhora,12th Pass,25,6871573.0,92.67,5
Unemployed,Yes,Not Pookie,Joint,0,Passionate,Yes,No,Chill,Gaon ka Chhora,Graduate+,27,0.0,2.89,2
Private Job,No,Not Pookie,Nuclear,0,Obese,No,No,Virus,Shehr ka Launda,10th Pass,34,168274.0,3.46,0
Government Job,Yes,Not Pookie,Joint,0,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,25,4855102.0,48.01,5
Private Job,Yes,Not Pookie,Nuclear,4,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,26,14128466.0,167.29,4
Private Job,No,Not Pookie,Joint,5,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,21,26362023.0,306.04,5
Private Job,No,Not Pookie,Alone,5,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,26,21289690.0,234.42,6
Private Job,Yes,Not Pookie,Alone,2,Obese,No,No,Chill,Gaon ka Chhora,Uneducated,28,11208497.0,132.78,4
Freelancer,No,Not Pookie,Nuclear,4,Optional,Yes,No,Virus,Gaon ka Chhora,12th Pass,29,365398.0,2.06,3
Business,Yes,Not Pookie,Joint,3,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,18,11937708.0,145.15,5
Government Job,No,Not Pookie,Nuclear,10,Optional,No,No,Chill,Shehr ka Launda,12th Pass,30,41528655.0,616.08,9
Government Job,Yes,Not Pookie,Joint,2,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,29,1150276.0,16.86,3
Self-employed,No,Not Pookie,Joint,9,Passionate,No,No,Chill,Gaon ka Chhora,10th Pass,25,44819644.0,466.81,9
Business,No,Not Pookie,Nuclear,3,Obese,No,No,Chill,Shehr ka Launda,91.64,37,7983537.0,12th Pass,4
Business,No,Not Pookie,Nuclear,3,Obese,Yes,No,Chill,Gaon ka Chhora,12th Pass,32,17787654.0,255.37,7
Freelancer,Yes,Not Pookie,Nuclear,5,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,25,17503058.0,247.23,7
Private Job,No,Pookie,Joint,8,Obese,No,No,Chill,Shehr ka Launda,12th Pass,27,30586988.0,445.47,8
Private Job,Yes,Not Pookie,Joint,2,Optional,Yes,No,Chill,Shehr ka Launda,Graduate+,25,7573810.0,74.61,6
Private Job,Yes,Not Pookie,Nuclear,8,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,37,43721963.0,455.77,9
Government Job,Yes,Not Pookie,Nuclear,1,Optional,Yes,No,Chill,Shehr ka Launda,Graduate+,24,9661557.0,99.09,7
Unemployed,Yes,Pookie,Nuclear,2,Obese,No,No,Chill,Shehr ka Launda,10th Pass,28,0.0,1.53,0
Freelancer,No,Not Pookie,Nuclear,2,Obese,No,No,Chill,Shehr ka Launda,12th Pass,27,9585075.0,132.66,3
Private Job,Yes,Not Pookie,Joint,0,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,33,998255.0,5.07,3
Business,Yes,Not Pookie,Nuclear,2,Optional,No,No,Virus,Shehr ka Launda,12th Pass,30,1191734.0,16.71,4
Private Job,Yes,Not Pookie,Joint,0,Passionate,No,No,Chill,Shehr ka Launda,10th Pass,27,2986452.0,37.54,3
Government Job,No,Not Pookie,Joint,1,Obese,No,No,Chill,Shehr ka Launda,12th Pass,29,658559.0,8.78,2
Freelancer,No,Not Pookie,Nuclear,1,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,21,173640.0,5.48,0
Freelancer,No,Not Pookie,Joint,4,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,30,24963935.0,305.36,7
Private Job,Yes,Not Pookie,Nuclear,1,Optional,No,No,Virus,Shehr ka Launda,Graduate+,25,0.0,1.16,1
Private Job,No,Not Pookie,Alone,1,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,21,4083888.0,43.91,0
Private Job,Yes,Pookie,Nuclear,10,Passionate,No,No,Virus,Shehr ka Launda,Graduate+,23,46101911.0,584.49,9
Private Job,Yes,Not Pookie,Joint,3,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,36,6330851.0,79.9,4
Private Job,Yes,Not Pookie,Joint,2,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,32,5373.0,0.0,3
Self-employed,Yes,Not Pookie,Alone,4,Optional,Yes,No,Virus,Gaon ka Chhora,10th Pass,29,16954656.0,199.56,8
Private Job,Yes,Not Pookie,Nuclear,8,Obese,Yes,No,Virus,Gaon ka Chhora,Graduate+,27,40816768.0,592.89,9
Government Job,Yes,Not Pookie,Joint,5,Optional,No,No,Chill,Shehr ka Launda,Graduate+,18,29481144.0,386.09,8
Private Job,Yes,Pookie,Alone,2,Obese,No,No,Virus,Shehr ka Launda,10th Pass,33,5044569.0,71.68,3
Private Job,No,Pookie,Joint,0,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,28,132301.0,2.07,1
Self-employed,No,Not Pookie,Nuclear,5,Optional,No,No,Chill,Shehr ka Launda,12th Pass,28,26626608.0,335.28,7
Freelancer,No,Not Pookie,Alone,0,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,28,135057.0,0.33,2
Private Job,No,Not Pookie,Joint,9,Optional,No,No,Chill,Gaon ka Chhora,N/A,20,43390063.0,582.33,7
Private Job,No,Not Pookie,Nuclear,4,Obese,No,No,Chill,Shehr ka Launda,Graduate+,25,15913744.0,164.03,5
Private Job,No,Not Pookie,Joint,5,Optional,No,No,Chill,Shehr ka Launda,12th Pass,32,25737241.0,350.8,6
Unemployed,No,Not Pookie,Alone,1,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,31,0.0,1.15,0
Private Job,Yes,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,29,2724300.0,37.98,2
Freelancer,Yes,Not Pookie,Joint,0,Optional,No,Yes,Chill,Gaon ka Chhora,10th Pass,29,13.73,N/A,1
Business,Yes,Not Pookie,Nuclear,1,Obese,No,No,Virus,Gaon ka Chhora,12th Pass,20,7370697.0,103.5,3
Private Job,No,Not Pookie,Joint,2,Passionate,No,No,Virus,Gaon ka Chhora,Graduate+,25,7660864.0,114.98,3
Private Job,Yes,Not Pookie,Joint,4,Obese,No,No,Chill,Shehr ka Launda,Graduate+,27,15024923.0,149.29,6
Private Job,Yes,Not Pookie,Nuclear,2,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,27,2013030.0,31.05,3
Business,No,Not Pookie,Alone,1,Optional,No,No,Chill,Shehr ka Launda,Graduate+,24,410.0,4.2,2
Government Job,No,Alone,Not Pookie,6,Optional,Yes,No,Chill,Shehr ka Launda,Graduate+,33,22964114.0,316.28,10
Private Job,No,Not Pookie,Joint,0,Passionate,No,No,Virus,Shehr ka Launda,Graduate+,24,528507.0,3.79,0
Private Job,No,Not Pookie,Joint,2,Obese,No,No,Chill,Shehr ka Launda,12th Pass,25,53591.0,0.0,0
Private Job,No,Pookie,Joint,2,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,22,160870.0,5.31,0
Freelancer,Yes,Not Pookie,Nuclear,0,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,34,172.0,0.0,3
Private Job,Yes,Not Pookie,Nuclear,4,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,21,8400599.0,111.34,3
Business,No,Not Pookie,Joint,3,Passionate,Yes,No,Virus,Shehr ka Launda,12th Pass,23,11109706.0,131.86,6
Freelancer,No,Not Pookie,Alone,3,Optional,No,Yes,Chill,Shehr ka Launda,Uneducated,27,5317731.0,52.26,3
Private Job,No,Not Pookie,Nuclear,6,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,31,31097213.0,374.63,8
Private Job,Yes,Not Pookie,Nuclear,0,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,36,1375831.0,21.09,1
